Empresa,Codigo
BEMOBI TECH,BMOB
BRQ,BRQB
ENJOEI,ENJU
REAGINVEST,REAG
INFRACOMM,IFCM
LWSA,LWSA
MELIUZ,CASH
NEOGRID,NGRD
PADTEC,PDTC
QUALITY SOFT,QUSW
TC,TRAD
TOTVS       ,TOTS
WDC NETWORKS,LVTC
BRISANET,BRST
DESKTOP,DESK
OI,OIBR
TELEBRAS    ,TELB
TELEF BRASIL,VIVT
TIM,TIMS
UNIFIQUE,FIQE
ELETROMIDIA,ELMD
AESOPERACOES,AESO
AFLUENTE T  ,AFLT
ALUPAR,ALUP
AMPLA ENERG ,CBEE
AUREN,AURE
CEB         ,CEBR
CEEE-D      ,CEED
CELESC      ,CLSC
CELGPAR     ,GPAR
CEMIG       ,CMIG
COELBA      ,CEEB
COELCE      ,COCE
COMERC PAR,COMR
COPEL       ,CPLE
CPFL ENERGIA,CPFE
ELEKTRO     ,EKTR
ELETROBRAS  ,ELET
ELETROPAR   ,LIPR
EMAE        ,EMAE
ENERGISA    ,ENGI
ENERGISA MT,ENMT
ENEVA,ENEV
ENGIE BRASIL,EGIE
EQTL PARA,EQPA
EQTLMARANHAO,EQMA
EQUATORIAL  ,EQTL
GER PARANAP ,GEPA
LIGHT       ,LIGH
LIGHT S/A   ,LIGT
NEOENERGIA  ,NEOE
SERENA,SRNA
PROMAN      ,PRMN
REDE ENERGIA,REDE
RENOVA      ,RNEW
TAESA       ,TAEE
ISA ENERGIA,ISAE
AMBIPAR,AMBP
CASAN       ,CASN
COPASA      ,CSMG
IGUA SA  ,IGSN
ORIZON,ORVR
SABESP      ,SBSP
SANEPAR     ,SAPR
CEG         ,CEGR
COMGAS      ,CGAS
COMPASS,PASS
ABC BRASIL  ,ABCB
ALFA HOLDING,RPAD
AMAZONIA    ,BAZA
BANCO BMG,BMGB
BANCO PAN,BPAN
BANESE      ,BGIP
BANESTES    ,BEES
BANPARA     ,BPAR
BANRISUL    ,BRSR
BR PARTNERS,BRBI
BRADESCO    ,BBDC
BRASIL      ,BBAS
BRB BANCO   ,BSLI
BTGP BANCO,BPAC
INTER CO,INBR
ITAUUNIBANCO,ITUB
MERCANTIL,BMEB
MERC INVEST ,BMIN
NORD BRASIL ,BNBR
PINE        ,PINE
SANTANDER BR,SANB
DMFINANCEIRA,DMFN
MERC FINANC ,MERC
BRAZILIAN SC,BSCS
OPEA,RBRA
POLO CAP SEC,PLSC
G2D INVEST,G2DI
GP INVEST   ,GPIV
PPLA,PPLA
B3 ,B3SA
CLEARSALE,CLSA
CSU DIGITAL,CSUD
EQUIFAXBRL,EFXB
EVERTEC INC,EVTC
STONE CO,STOC
XP INC,XPBR
BBSEGURIDADE,BBSE
CAIXA SEGURI,CXSE
PORTO SEGURO,PSSA
IRBBRASIL RE,IRBR
WIZ CO,WIZC
ALLOS,ALOS
GENERALSHOPP,GSHP
HABITASUL   ,HBTS
HBR REALTY,HBRE
IGUATEMI S.A,IGTI
LOG COM PROP,LOGG
MENEZES CORT,MNZC
MULTIPLAN   ,MULT
PAR AL BAHIA,PEAB
SAO CARLOS  ,SCAR
SYN PROP TEC,SYNE
LOPES BRASIL,LPSB
NEXPE,NEXP
ITAUSA      ,ITSA
MONT ARANHA ,MOAR
SIMPAR,SIMH
CEPAC - CTBA,CTBA
CEPAC - MCRJ,MCRJ
CEPAC - PMSP,PMSP
524 PARTICIP,QVQP
FICTORALIMEN,FICT
BETAPART    ,BETP
CEMEPE      ,MAPT
GAMA PART   ,OPGM
INVEST BEMGE,FIGE
POLPAR      ,PPAR
PROMPT PART ,PRPT
SUDESTE S/A ,OPSE
SUL 116 PART,OPTS
